Region Id,Sick,Healed,Die,Region Name
77,1591642,1468151,28160,Москва
78,595382,566263,21131,Санкт-Петербург
50,432964,378885,7993,Московская область
52,162144,149600,6195,Нижегородская область
61,131510,114108,6397,Ростовская область
66,131217,121054,5719,Свердловская область
36,125558,106303,4259,Воронежская область
24,110745,97497,5503,Красноярский край
38,103455,91393,4632,Иркутская область
63,97115,81522,3571,Самарская область
59,94605,83664,4444,Пермский край
74,90499,78760,3057,Челябинская область
34,86922,77176,2525,Волгоградская область
29,85368,78326,1161,Архангельская область
64,84472,77759,2620,Саратовская область
26,80564,64787,2648,Ставропольский край
27,79685,73541,741,Хабаровский край
55,78928,63878,2063,Омская область
73,78476,70056,2439,Ульяновская область
91,74723,64343,2398,Республика Крым
22,74011,57092,3887,Алтайский край
86,72729,69080,1086,Ханты-Мансийский АО
56,72215,60472,1736,Оренбургская область
23,70554,50497,5728,Краснодарский край
51,70320,54024,1958,Мурманская область
58,66991,56017,2409,Пензенская область
11,66701,61705,1604,Республика Коми
75,66265,58142,1115,Забайкальский край
47,65894,51145,2434,Ленинградская область
25,65680,58446,1097,Приморский край
35,65120,58580,1748,Вологодская область
69,63543,57247,1593,Тверская область
10,63073,60030,813,Республика Карелия
32,62899,58573,1286,Брянская область
2,61614,54080,1342,Республика Башкортостан
54,61029,49101,2815,Новосибирская область
76,58615,50953,1109,Ярославская область
72,58360,51159,1751,Тюменская область
3,57565,49404,1807,Республика Бурятия
30,56512,43081,1573,Астраханская область
43,55738,51465,506,Кировская область
46,54806,49864,1361,Курская область
42,54246,51766,1215,Кемеровская область
71,52938,45321,2862,Тульская область
33,51664,47521,1840,Владимирская область
39,51534,47350,687,Калининградская область
14,51331,42312,1128,Республика Саха (Якутия)
31,51311,47262,1072,Белгородская область
5,50103,45823,2386,Республика Дагестан
48,49819,43504,1532,Липецкая область
18,49743,40928,1779,Удмуртская Республика
89,49036,47238,653,Ямало-Ненецкий автономный округ
60,48262,41921,724,Псковская область
67,47553,42579,1601,Смоленская область
37,46956,43449,1537,Ивановская область
40,46529,43678,648,Калужская область
57,44436,41487,970,Орловская область
53,42315,38835,410,Новгородская область
70,42307,35635,554,Томская область
68,41920,39969,838,Тамбовская область
62,40480,37103,1026,Рязанская область
19,37041,33866,1025,Республика Хакасия
28,33707,27516,424,Амурская область
21,32797,29736,2160,Республика Чувашия
44,32246,26509,734,Костромская область
65,31971,31013,265,Сахалинская область
45,31585,28014,656,Курганская область
7,30841,28984,752,Кабардино-Балкарская Республика
8,29386,26683,573,Республика Калмыкия
92,28835,26624,1077,Севастополь
13,27053,23397,521,Республика Мордовия
16,26213,22807,709,Республика Татарстан
17,25780,20911,277,Республика Тыва
9,24729,22127,529,Карачаево-Черкесская Республика
15,21908,19055,519,Республика Северная Осетия — Алания
20,21656,19947,554,Чеченская Республика
4,21108,20020,336,Республика Алтай
6,20577,18961,300,Республика Ингушетия
41,19107,15302,289,Камчатский край
1,18885,16723,383,Республика Адыгея
12,18824,16958,545,Республика Марий Эл
49,10716,9738,245,Магаданская область
79,7510,6054,239,Еврейская автономная область
83,2110,1970,39,Ненецкий автономный округ
87,1650,1253,14,Чукотский автономный округ
99,7194926,6435072,195041,Всего
